epoch,train_loss,val_loss,train_latent,train_pixel,train_gradient
1,0.7308941109194642,4.849470416704814,0.7308941109194642,0.0,0.0
2,0.724584313553004,4.305906795320057,0.724584313553004,0.0,0.0
3,0.7185778733165491,4.8730301062266035,0.7185778733165491,0.0,0.0
4,0.7209495286501589,4.8948286317643666,0.7209495286501589,0.0,0.0
5,0.7186681525338263,5.363333191190447,0.7186681525338263,0.0,0.0
6,0.7219715251454285,4.48794193211056,0.7219715251454285,0.0,0.0
7,0.719714046411571,3.103339290335065,0.719714046411571,0.0,0.0
8,0.7187834142574242,4.028430725846972,0.7187834142574242,0.0,0.0
9,0.7161447666585445,4.674920530546279,0.7161447666585445,0.0,0.0
10,0.7197282337361858,3.8924168930167244,0.7197282337361858,0.0,0.0
11,0.7181959049332709,4.2389928840455555,0.7181959049332709,0.0,0.0
12,0.7212380525611696,4.631928314765294,0.7212380525611696,0.0,0.0
13,0.7183714755589053,4.861832022666931,0.7183714755589053,0.0,0.0
14,0.7149355858564377,4.617065077736264,0.7149355858564377,0.0,0.0
15,0.7161781500492778,5.3373130815369745,0.7161781500492778,0.0,0.0
16,0.7190101694847856,4.999851422650473,0.7190101694847856,0.0,0.0
17,0.7161591081392198,3.731326093276342,0.7161591081392198,0.0,0.0
18,0.7150335491058373,3.7535013925461542,0.7150335491058373,0.0,0.0
19,0.7155056549679666,4.142093964985439,0.7155056549679666,0.0,0.0
20,0.7161368057131767,4.728690165848959,0.7161368057131767,0.0,0.0
21,0.7970285665776048,4.274252198991322,0.7159995527139732,0.08210199143892775,0.07852539451726313
22,0.793729310056993,4.76238340139389,0.716042332883392,0.07848937235151728,0.07581472128540986
23,0.7911786123045853,4.540100611391521,0.712561755485478,0.079789605507228,0.0758804399852774
24,0.7918684759310314,5.190026391120184,0.7155358647661549,0.07700536201064963,0.07476286061241158
25,0.7909782447275662,5.146354655424754,0.7142673645700727,0.07770360670318562,0.07439451634196476
26,0.7940483836545831,3.601293194861639,0.7163614086097195,0.07896238427963995,0.07471102307594958
27,0.7961119124222369,4.877774028551011,0.7174755118432499,0.07998155635626365,0.07549770239607564
28,0.789259596949532,3.946927235240028,0.7121645352315336,0.07812058601328838,0.07470217341601494
29,0.7925743914785839,4.427240723655338,0.7165070422703311,0.07703108600496004,0.07381862747882094
30,0.788526693979899,3.5891720794496083,0.7139431820029304,0.07495144328346387,0.0737250041926191
